2022-01-30 00:38:02.302  INFO 4423 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-01-30 14:48:39.123  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-30 00:00:00.0
2022-01-30 14:48:39.133  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-30 00:00:00.0
2022-01-30 14:48:39.142  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-30 00:00:00.0
2022-01-30 14:48:40.779  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:48:40.799  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:40.843  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:48:40.857  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
2022-01-30 14:48:40.865  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:48:40.872  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:48:40.880  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:48:51.892  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:48:51.901  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:54.904  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:48:54.919  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:56.057  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:48:56.065  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:48:56.085  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:48:56.093  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
2022-01-30 14:48:56.099  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:48:56.107  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:48:56.113  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:50:03.855  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:50:03.861  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:50:09.315  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:50:09.324  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:50:10.768  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:50:10.775  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:50:10.796  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:50:10.805  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
2022-01-30 14:50:10.813  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:50:10.821  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:50:10.829  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:50:48.119  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:50:48.130  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:50:50.798  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:50:50.813  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:50:51.903  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:50:51.911  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:50:51.930  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:50:51.939  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
2022-01-30 14:50:51.946  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:50:51.953  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:50:51.959  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:52:18.471  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:52:18.481  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:52:20.251  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:52:20.264  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:52:21.079  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:52:21.088  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:52:21.108  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:52:21.116  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-17 00:00:00.0
2022-01-30 14:52:21.124  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-17 00:00:00.0
2022-01-30 14:52:21.130  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-17 00:00:00.0
2022-01-30 14:52:21.137  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-17 00:00:00.0
2022-01-30 14:52:34.322  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:52:34.336  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:52:34.394  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ActivityController     : Controller - GET - /activity
2022-01-30 14:52:34.406  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/1/2022-01-24 00:00:00.0
2022-01-30 14:52:34.469  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/2/2022-01-24 00:00:00.0
2022-01-30 14:52:34.476  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/3/2022-01-24 00:00:00.0
2022-01-30 14:52:34.483  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.c.ActivityTrackingController       : Controller - GET - /activitytracking/childid/activityid/date/5/4/2022-01-24 00:00:00.0
2022-01-30 14:58:03.882  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:58:03.888  INFO 4443 --- [http-nio-9443-exec-3] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:58:09.896  INFO 4443 --- [http-nio-9443-exec-4] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:58:09.907  INFO 4443 --- [http-nio-9443-exec-5] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:58:17.899  INFO 4443 --- [http-nio-9443-exec-6] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:58:17.904  INFO 4443 --- [http-nio-9443-exec-7] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:58:27.420  INFO 4443 --- [http-nio-9443-exec-8] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:58:27.432  INFO 4443 --- [http-nio-9443-exec-9] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:58:28.496  INFO 4443 --- [http-nio-9443-exec-10] c.s.c.controllers.ParentController       : Controller - GET - /parent/userid1
2022-01-30 14:58:28.504  INFO 4443 --- [http-nio-9443-exec-1] c.s.c.controllers.ChildController        : Controller - GET - /child/parentsid/1/2
2022-01-30 14:58:28.526  INFO 4443 --- [http-nio-9443-exec-2] c.s.c.controllers.ActivityController     : Controller - GET - /activity
